imageID,Cat1,Cat2,Cat3,Cat4,Cat5,Cat6,Cat7,Cat8,Cat9,Cat10,Cat11,Cat12,Cat13,Cat14,max,,Style,
114,0.052491293,0.018799939,0.096383405,0.237074349,0.370149527,0.055919406,0.035136817,0.033969712,0.008535942,0.004903648,0.004799735,0.058476292,0.012941023,0.010418912,0.370149527,Cat5,Cat4,FALSE
115,0.086008673,0.326597088,0.13961694,0.009696843,0.033771749,0.015326807,0.011366149,0.037589049,0.025380436,0.012748919,0.010135006,0.011469091,0.195610094,0.084683156,0.326597088,Cat2,Cat2,TRUE
118,0.067125853,0.028409089,0.052767692,0.050283801,0.030602477,0.012651031,0.141691596,0.498376786,0.005592383,0.059151394,0.013918436,0.007784419,0.017144038,0.014501004,0.498376786,Cat8,Cat3,FALSE
123,0.048438803,0.062699179,0.048074128,0.039109562,0.038807657,0.050275046,0.277742286,0.02246886,0.01239685,0.28101999,0.0510532,0.010352115,0.046693784,0.010868538,0.28101999,Cat10,Cat6,FALSE
134,0.019336042,0.0168668,0.074917567,0.013843397,0.15716469,0.008551377,0.006639822,0.061817306,0.523876573,0.005561986,0.003186282,0.015618443,0.010840336,0.081779379,0.523876573,Cat9,Cat5,FALSE
136,0.007126742,0.003964205,0.177166132,0.005077094,0.009995085,0.015800143,0.003147094,0.006685227,0.003434981,0.002702901,0.003634874,0.653236163,0.012120339,0.095909019,0.653236163,Cat12,Cat12,TRUE
137,0.045887467,0.060191356,0.168035213,0.0383657,0.287779182,0.039477617,0.02279195,0.03800384,0.040416911,0.00812669,0.008126153,0.038454837,0.054742024,0.14960106,0.287779182,Cat5,Cat5,TRUE
138,0.05026442,0.030965692,0.379240293,0.025327744,0.020130979,0.093738023,0.010238756,0.30849173,0.005231018,0.005745721,0.007396159,0.016817489,0.016293952,0.030118024,0.379240293,Cat3,Cat6,FALSE
146,0.021648071,0.084796364,0.352172374,0.009158588,0.034620114,0.029064077,0.010211585,0.043852154,0.177357599,0.011851587,0.016933746,0.021164074,0.036968289,0.15020138,0.352172374,Cat3,Cat14,FALSE
152,0.043002137,0.012922613,0.054767015,0.072839641,0.204259242,0.031757925,0.051131963,0.015560181,0.006570462,0.003695547,0.003554579,0.455119172,0.011114382,0.033705142,0.455119172,Cat12,Cat5,FALSE
153,0.058509319,0.028450003,0.102358408,0.008495254,0.061255178,0.013535507,0.067181691,0.034910137,0.007017107,0.059627793,0.076510173,0.008732863,0.456152343,0.017264223,0.456152343,Cat13,Cat13,TRUE
156,0.074349332,0.0208892,0.120023105,0.236868087,0.034234941,0.157442776,0.113778958,0.028572499,0.005327112,0.100145508,0.014877499,0.033330701,0.010008658,0.050151624,0.236868087,Cat4,Cat4,TRUE
164,0.071236507,0.018797057,0.06190105,0.044938921,0.327573952,0.044287414,0.118199681,0.029938545,0.15605039,0.019086403,0.020824215,0.009616889,0.040269574,0.037279402,0.327573952,Cat5,Cat4,FALSE
165,0.017228053,0.04497757,0.054610246,0.071093979,0.320198277,0.007504995,0.037126953,0.051539765,0.005804752,0.006281088,0.004799974,0.012897381,0.345934432,0.020002535,0.345934432,Cat13,Cat5,FALSE
167,0.07916797,0.233517956,0.084317273,0.009696509,0.172426552,0.097277184,0.005629249,0.013042981,0.020856526,0.023826265,0.010353333,0.00809557,0.178760324,0.063032308,0.233517956,Cat2,Cat13,FALSE
175,0.024793257,0.047249746,0.116106409,0.015808244,0.052901204,0.009535883,0.040222202,0.211101889,0.008822944,0.340121171,0.021445335,0.008370153,0.072646403,0.030875162,0.340121171,Cat10,Cat13,FALSE
181,0.011941091,0.007336706,0.108527542,0.003341771,0.005229319,0.025269994,0.004084918,0.016437496,0.006141849,0.002269174,0.001588545,0.743615581,0.005670797,0.058545216,0.743615581,Cat12,Cat12,TRUE
184,0.009920514,0.016678995,0.025248045,0.002586264,0.004957098,0.042242726,0.002394483,0.022075403,0.167017775,0.002979362,0.001849878,0.364410476,0.009656395,0.327982589,0.364410476,Cat12,Cat12,TRUE
185,0.022940075,0.053097394,0.140245964,0.004780528,0.019236386,0.120175633,0.003233712,0.01487038,0.474667696,0.007843228,0.005094113,0.005663544,0.019686629,0.108464718,0.474667696,Cat9,Cat13,FALSE
193,0.068381783,0.044628554,0.154614388,0.066668816,0.028214811,0.218511707,0.055173009,0.021912562,0.011805841,0.009664232,0.014888635,0.272077068,0.018544165,0.014914428,0.272077068,Cat12,Cat2,FALSE
194,0.012838768,0.005201789,0.051466609,0.002968589,0.003959344,0.04344766,0.003176618,0.012223531,0.013267697,0.002695416,0.001939878,0.733542074,0.006605709,0.106666319,0.733542074,Cat12,Cat12,TRUE
198,0.232579757,0.03739112,0.133292972,0.006759403,0.248565105,0.01821308,0.011890354,0.135481797,0.057695844,0.016149411,0.01260226,0.005650455,0.037848328,0.045880115,0.248565105,Cat5,Cat8,FALSE
201,0.049413091,0.013364773,0.055781567,0.004019788,0.009824829,0.089418217,0.003476866,0.014800212,0.008563441,0.004239848,0.00357229,0.704680544,0.007201553,0.031642981,0.704680544,Cat12,Cat12,TRUE
205,0.194653795,0.084855375,0.092291399,0.031419427,0.032381759,0.07022869,0.013595447,0.255823702,0.009965059,0.010586249,0.009401276,0.05059865,0.093577365,0.050621806,0.255823702,Cat8,Cat12,FALSE
212,0.020827888,0.003226614,0.041445474,0.014508908,0.00652498,0.020789417,0.007481354,0.014024966,0.003536616,0.001898993,0.001580515,0.826289904,0.002800597,0.035063771,0.826289904,Cat12,Cat4,FALSE
214,0.054754374,0.098189382,0.070385828,0.057179002,0.043424728,0.055403775,0.262159552,0.056988662,0.011792313,0.180969452,0.050685663,0.011456138,0.035597926,0.011013205,0.262159552,Cat7,Cat7,TRUE
218,0.089184747,0.018262635,0.102512556,0.04690544,0.022708419,0.136194315,0.290563338,0.040796642,0.004900548,0.071382863,0.139108856,0.009898802,0.008007727,0.019573112,0.290563338,Cat7,Cat7,TRUE
220,0.081603927,0.016203308,0.045280539,0.013006039,0.01486776,0.013722168,0.067712786,0.419054357,0.004777916,0.148677451,0.148248921,0.004081879,0.017500465,0.005262484,0.419054357,Cat8,Cat10,FALSE
222,0.122400077,0.075352466,0.093681182,0.016824476,0.110195152,0.029515721,0.070759546,0.059070424,0.024701549,0.05136669,0.052563569,0.02012549,0.250391814,0.023051845,0.250391814,Cat13,Cat13,TRUE
229,0.101222175,0.121362726,0.254654426,0.013674505,0.090010531,0.024049672,0.010040522,0.114768037,0.029816915,0.025922624,0.018155508,0.013369052,0.126460795,0.056492512,0.254654426,Cat3,Cat3,TRUE
246,0.038745638,0.0157561,0.049902439,0.012612511,0.012472346,0.011507363,0.058202114,0.550452566,0.003276908,0.100460708,0.077999749,0.004289146,0.058394286,0.005928126,0.550452566,Cat8,Cat10,FALSE
,,,,,,,,,,,,,,,,,,0.451612903
